is_registered,user_id,first_name,last_name,reg_no,email_id,phone_no,branch,course,highlight,reason,gender
true,user@bSOPrPdssrpLACRpY9RIgYOasp5wz6hI3oTm7Otcs_ABLb3aGP9bTrFJiCFhR7ga3exXXssjVtbKpMyYDcNAUTifGTRmvrD,bhaiya,student,12345678,bh@gmail.com,7017455221,B.Tech,CSE,no,,male
true,user@QwUcCH5KgA1G7GmGKaAT4Fn6ytjiIfRCfwQee3zuGJQPdZweG7gMmLcVjKsNHwWGnmvl16N8huYRr6MnUSwjc2MGW73Bg_t,bhen,student,11907461,asd@gmail.com,0,,,no,,female

true,user@bSOPrPdssrpLACRpY9RIgYOasp5wz6hI3oTm7Otcs_ABLb3aGP9bTrFJiCFhR7ga3exXXssjVtbKpMyYDcNAUTifGTRmvrD,gaman,tyagi,12345678,shashanktyagi455@gmail.com,7017455221,B.Tech,CSE,no,,male

true,user@bSOPrPdssrpLACRpY9RIgYOasp5wz6hI3oTm7Otcs_ABLb3aGP9bTrFJiCFhR7ga3exXXssjVtbKpMyYDcNAUTifGTRmvrD,shashank,tyagi,12345652,bh458@gmail.com,7017455221,B.Tech,CSE,no,,male

true,user@bSOPrPdssrpLACRpY9RIgYOasp5wz6hI3oTm7Otcs_ABLb3aGP9bTrFJiCFhR7ga3exXXssjVtbKpMyYDcNAUTifGTRmvrD,suman,student,12344563,bh4256@gmail.com,7017455221,B.Tech,CSE,yes,because this is suman,female

true,user@bSOPrPdssrpLACRpY9RIgYOasp5wz6hI3oTm7Otcs_ABLb3aGP9bTrFJiCFhR7ga3exXXssjVtbKpMyYDcNAUTifGTRmvrD,jaggo,student,12348462,bh4582@gmail.com,7017455221,B.Tech,CSE,no,,male

true,user@bSOPrPdssrpLACRpY9RIgYOasp5wz6hI3oTm7Otcs_ABLb3aGP9bTrFJiCFhR7ga3exXXssjVtbKpMyYDcNAUTifGTRmvrD,hrMI,sharma,12341245,bh475225@gmail.com,7017455221,B.Tech,CSE,no,,male

true,user@bSOPrPdssrpLACRpY9RIgYOasp5wz6hI3oTm7Otcs_ABLb3aGP9bTrFJiCFhR7ga3exXXssjVtbKpMyYDcNAUTifGTRmvrD,dhruv,student,12344545,bh45525@gmail.com,7017455221,B.Tech,CSE,no,,male

true,user@bSOPrPdssrpLACRpY9RIgYOasp5wz6hI3oTm7Otcs_ABLb3aGP9bTrFJiCFhR7ga3exXXssjVtbKpMyYDcNAUTifGTRmvrD,divya,student,12347823,tmayank85@gmail.com,7017455221,B.Tech,CSE,no,,female

true,user@bSOPrPdssrpLACRpY9RIgYOasp5wz6hI3oTm7Otcs_ABLb3aGP9bTrFJiCFhR7ga3exXXssjVtbKpMyYDcNAUTifGTRmvrD,sis,student,12345672,bh@gmail.com,7017455221,B.Tech,CSE,no,,female

true,user@bSOPrPdssrpLACRpY9RIgYOasp5wz6hI3oTm7Otcs_ABLb3aGP9bTrFJiCFhR7ga3exXXssjVtbKpMyYDcNAUTifGTRmvrD,riya,student,12344444,bh@gmail.com,7017455221,B.Tech,CSE,yes,bss try krke dhek rha tha,female

true,user@bSOPrPdssrpLACRpY9RIgYOasp5wz6hI3oTm7Otcs_ABLb3aGP9bTrFJiCFhR7ga3exXXssjVtbKpMyYDcNAUTifGTRmvrD,jamub,student,12347569,bh@gmail.com,7017455221,B.Tech,CSE,no,,male

true,user@bSOPrPdssrpLACRpY9RIgYOasp5wz6hI3oTm7Otcs_ABLb3aGP9bTrFJiCFhR7ga3exXXssjVtbKpMyYDcNAUTifGTRmvrD,khopdi,student,12347459,bh@gmail.com,7017455221,B.Tech,CSE,no,,male
true,123456@hgfyt7gc44@%cfgfde^2154654YUFGhvhj^%$5HGFHkjhijhtu6ytfhgc2146%^$TRSu6tR^%hgcgfST$WRgftyutyuty,gaman,tyagi,11907466,tmayank85@gmail.com,7017455221,B.Tech,CSE,no,,male
true,user@_SATxEWnyrc4nvrotzyxtoRGjvhO6Nha_xqS4ubeM0RqCLStKipE_xeYzUfTELogMaTpsyyYXN6XTluvg8u07Uv4Aw76Jnd,mayank,tyagi,11907461,tmayank85@gmail.com,0,,,no,,male
true,user@ze6WqyPXfG2u8_kD1_JxSqO3ky9W3M6IGVYIJI_wYSQ5FlGhvaXVyf9JsAyEauxEgX3T6MC3puSrHMLI8C2MhhGnqIZtJ9Z,mayank,student,11907675,tmayank22@gmail.com,0,,,no,,male,no
